STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
BTC,D,41,M FLOW,19980128 0000,19980128 0000,---, ,CFS
BTC,D,41,M FLOW,19980129 0000,19980129 0000,---, ,CFS
BTC,D,41,M FLOW,19980130 0000,19980130 0000,68129, ,CFS
BTC,D,41,M FLOW,19980131 0000,19980131 0000,67412, ,CFS
BTC,D,41,M FLOW,19980201 0000,19980201 0000,64142, ,CFS
BTC,D,41,M FLOW,19980202 0000,19980202 0000,76187, ,CFS
BTC,D,41,M FLOW,19980203 0000,19980203 0000,91045, ,CFS
BTC,D,41,M FLOW,19980204 0000,19980204 0000,137487, ,CFS
BTC,D,41,M FLOW,19980205 0000,19980205 0000,132221, ,CFS
BTC,D,41,M FLOW,19980206 0000,19980206 0000,119200, ,CFS
BTC,D,41,M FLOW,19980207 0000,19980207 0000,113765, ,CFS
BTC,D,41,M FLOW,19980208 0000,19980208 0000,120060, ,CFS
BTC,D,41,M FLOW,19980209 0000,19980209 0000,115877, ,CFS
BTC,D,41,M FLOW,19980210 0000,19980210 0000,101243, ,CFS
BTC,D,41,M FLOW,19980211 0000,19980211 0000,95160, ,CFS
BTC,D,41,M FLOW,19980212 0000,19980212 0000,94605, ,CFS
BTC,D,41,M FLOW,19980213 0000,19980213 0000,89833, ,CFS
BTC,D,41,M FLOW,19980214 0000,19980214 0000,93804, ,CFS
BTC,D,41,M FLOW,19980215 0000,19980215 0000,101350, ,CFS
BTC,D,41,M FLOW,19980216 0000,19980216 0000,93289, ,CFS
BTC,D,41,M FLOW,19980217 0000,19980217 0000,85686, ,CFS
BTC,D,41,M FLOW,19980218 0000,19980218 0000,93147, ,CFS
BTC,D,41,M FLOW,19980219 0000,19980219 0000,84835, ,CFS
BTC,D,41,M FLOW,19980220 0000,19980220 0000,97789, ,CFS
BTC,D,41,M FLOW,19980221 0000,19980221 0000,100324, ,CFS
BTC,D,41,M FLOW,19980222 0000,19980222 0000,95483, ,CFS
BTC,D,41,M FLOW,19980223 0000,19980223 0000,92175, ,CFS
BTC,D,41,M FLOW,19980224 0000,19980224 0000,94412, ,CFS
BTC,D,41,M FLOW,19980225 0000,19980225 0000,88539, ,CFS
BTC,D,41,M FLOW,19980226 0000,19980226 0000,79499, ,CFS
BTC,D,41,M FLOW,19980227 0000,19980227 0000,74057, ,CFS
BTC,D,41,M FLOW,19980228 0000,19980228 0000,63910, ,CFS
BTC,D,41,M FLOW,19980301 0000,19980301 0000,60476, ,CFS
BTC,D,41,M FLOW,19980302 0000,19980302 0000,60131, ,CFS
BTC,D,41,M FLOW,19980303 0000,19980303 0000,58762, ,CFS
BTC,D,41,M FLOW,19980304 0000,19980304 0000,53417, ,CFS
BTC,D,41,M FLOW,19980305 0000,19980305 0000,48010, ,CFS
BTC,D,41,M FLOW,19980306 0000,19980306 0000,43152, ,CFS
BTC,D,41,M FLOW,19980307 0000,19980307 0000,38728, ,CFS
BTC,D,41,M FLOW,19980308 0000,19980308 0000,34906, ,CFS
BTC,D,41,M FLOW,19980309 0000,19980309 0000,32051, ,CFS
BTC,D,41,M FLOW,19980310 0000,19980310 0000,28712, ,CFS
BTC,D,41,M FLOW,19980311 0000,19980311 0000,27283, ,CFS
BTC,D,41,M FLOW,19980312 0000,19980312 0000,24848, ,CFS
BTC,D,41,M FLOW,19980313 0000,19980313 0000,24153, ,CFS
BTC,D,41,M FLOW,19980314 0000,19980314 0000,28124, ,CFS
BTC,D,41,M FLOW,19980315 0000,19980315 0000,24624, ,CFS
BTC,D,41,M FLOW,19980316 0000,19980316 0000,22459, ,CFS
BTC,D,41,M FLOW,19980317 0000,19980317 0000,22194, ,CFS
BTC,D,41,M FLOW,19980318 0000,19980318 0000,21156, ,CFS
BTC,D,41,M FLOW,19980319 0000,19980319 0000,20774, ,CFS
BTC,D,41,M FLOW,19980320 0000,19980320 0000,23279, ,CFS
BTC,D,41,M FLOW,19980321 0000,19980321 0000,30501, ,CFS
BTC,D,41,M FLOW,19980322 0000,19980322 0000,42212, ,CFS
BTC,D,41,M FLOW,19980323 0000,19980323 0000,67088, ,CFS
BTC,D,41,M FLOW,19980324 0000,19980324 0000,68601, ,CFS
BTC,D,41,M FLOW,19980325 0000,19980325 0000,71022, ,CFS
BTC,D,41,M FLOW,19980326 0000,19980326 0000,74719, ,CFS
BTC,D,41,M FLOW,19980327 0000,19980327 0000,72707, ,CFS
BTC,D,41,M FLOW,19980328 0000,19980328 0000,68015, ,CFS
BTC,D,41,M FLOW,19980329 0000,19980329 0000,60193, ,CFS
BTC,D,41,M FLOW,19980330 0000,19980330 0000,51419, ,CFS
BTC,D,41,M FLOW,19980331 0000,19980331 0000,44390, ,CFS
BTC,D,41,M FLOW,19980401 0000,19980401 0000,45804, ,CFS
BTC,D,41,M FLOW,19980402 0000,19980402 0000,46000, ,CFS
BTC,D,41,M FLOW,19980403 0000,19980403 0000,41306, ,CFS
BTC,D,41,M FLOW,19980404 0000,19980404 0000,41422, ,CFS
BTC,D,41,M FLOW,19980405 0000,19980405 0000,40292, ,CFS
BTC,D,41,M FLOW,19980406 0000,19980406 0000,38233, ,CFS
BTC,D,41,M FLOW,19980407 0000,19980407 0000,39651, ,CFS
BTC,D,41,M FLOW,19980408 0000,19980408 0000,38597, ,CFS
BTC,D,41,M FLOW,19980409 0000,19980409 0000,30218, ,CFS
BTC,D,41,M FLOW,19980410 0000,19980410 0000,28485, ,CFS
BTC,D,41,M FLOW,19980411 0000,19980411 0000,27002, ,CFS
BTC,D,41,M FLOW,19980412 0000,19980412 0000,24161, ,CFS
BTC,D,41,M FLOW,19980413 0000,19980413 0000,22533, ,CFS
BTC,D,41,M FLOW,19980414 0000,19980414 0000,22088, ,CFS
BTC,D,41,M FLOW,19980415 0000,19980415 0000,20402, ,CFS
BTC,D,41,M FLOW,19980416 0000,19980416 0000,19659, ,CFS
BTC,D,41,M FLOW,19980417 0000,19980417 0000,18452, ,CFS
BTC,D,41,M FLOW,19980418 0000,19980418 0000,17700, ,CFS
BTC,D,41,M FLOW,19980419 0000,19980419 0000,18474, ,CFS
BTC,D,41,M FLOW,19980420 0000,19980420 0000,19770, ,CFS
BTC,D,41,M FLOW,19980421 0000,19980421 0000,19860, ,CFS
BTC,D,41,M FLOW,19980422 0000,19980422 0000,19795, ,CFS
BTC,D,41,M FLOW,19980423 0000,19980423 0000,20122, ,CFS
BTC,D,41,M FLOW,19980424 0000,19980424 0000,21570, ,CFS
BTC,D,41,M FLOW,19980425 0000,19980425 0000,21991, ,CFS
BTC,D,41,M FLOW,19980426 0000,19980426 0000,22322, ,CFS
BTC,D,41,M FLOW,19980427 0000,19980427 0000,22036, ,CFS
BTC,D,41,M FLOW,19980428 0000,19980428 0000,20214, ,CFS
BTC,D,41,M FLOW,19980429 0000,19980429 0000,19288, ,CFS
BTC,D,41,M FLOW,19980430 0000,19980430 0000,19618, ,CFS
BTC,D,41,M FLOW,19980501 0000,19980501 0000,20056, ,CFS
BTC,D,41,M FLOW,19980502 0000,19980502 0000,20850, ,CFS
BTC,D,41,M FLOW,19980503 0000,19980503 0000,21893, ,CFS
BTC,D,41,M FLOW,19980504 0000,19980504 0000,22011, ,CFS
BTC,D,41,M FLOW,19980505 0000,19980505 0000,21309, ,CFS
BTC,D,41,M FLOW,19980506 0000,19980506 0000,21090, ,CFS
BTC,D,41,M FLOW,19980507 0000,19980507 0000,19725, ,CFS
BTC,D,41,M FLOW,19980508 0000,19980508 0000,19028, ,CFS
BTC,D,41,M FLOW,19980509 0000,19980509 0000,20792, ,CFS
BTC,D,41,M FLOW,19980510 0000,19980510 0000,22260, ,CFS
BTC,D,41,M FLOW,19980511 0000,19980511 0000,20253, ,CFS
BTC,D,41,M FLOW,19980512 0000,19980512 0000,19518, ,CFS
BTC,D,41,M FLOW,19980513 0000,19980513 0000,22635, ,CFS
BTC,D,41,M FLOW,19980514 0000,19980514 0000,20900, ,CFS
BTC,D,41,M FLOW,19980515 0000,19980515 0000,20954, ,CFS
BTC,D,41,M FLOW,19980516 0000,19980516 0000,20980, ,CFS
BTC,D,41,M FLOW,19980517 0000,19980517 0000,27274, ,CFS
BTC,D,41,M FLOW,19980518 0000,19980518 0000,23845, ,CFS
BTC,D,41,M FLOW,19980519 0000,19980519 0000,22639, ,CFS
BTC,D,41,M FLOW,19980520 0000,19980520 0000,21587, ,CFS
BTC,D,41,M FLOW,19980521 0000,19980521 0000,21204, ,CFS
BTC,D,41,M FLOW,19980522 0000,19980522 0000,20359, ,CFS
BTC,D,41,M FLOW,19980523 0000,19980523 0000,21118, ,CFS
BTC,D,41,M FLOW,19980524 0000,19980524 0000,22066, ,CFS
BTC,D,41,M FLOW,19980525 0000,19980525 0000,22679, ,CFS
BTC,D,41,M FLOW,19980526 0000,19980526 0000,26765, ,CFS
BTC,D,41,M FLOW,19980527 0000,19980527 0000,26556, ,CFS
BTC,D,41,M FLOW,19980528 0000,19980528 0000,29535, ,CFS
BTC,D,41,M FLOW,19980529 0000,19980529 0000,57273, ,CFS
BTC,D,41,M FLOW,19980530 0000,19980530 0000,72696, ,CFS
BTC,D,41,M FLOW,19980531 0000,19980531 0000,60109, ,CFS
BTC,D,41,M FLOW,19980601 0000,19980601 0000,42476, ,CFS
BTC,D,41,M FLOW,19980602 0000,19980602 0000,36874, ,CFS
BTC,D,41,M FLOW,19980603 0000,19980603 0000,33676, ,CFS
BTC,D,41,M FLOW,19980604 0000,19980604 0000,37984, ,CFS
BTC,D,41,M FLOW,19980605 0000,19980605 0000,35389, ,CFS
BTC,D,41,M FLOW,19980606 0000,19980606 0000,33424, ,CFS
BTC,D,41,M FLOW,19980607 0000,19980607 0000,30188, ,CFS
BTC,D,41,M FLOW,19980608 0000,19980608 0000,28317, ,CFS
BTC,D,41,M FLOW,19980609 0000,19980609 0000,25859, ,CFS
BTC,D,41,M FLOW,19980610 0000,19980610 0000,24109, ,CFS
BTC,D,41,M FLOW,19980611 0000,19980611 0000,25745, ,CFS
BTC,D,41,M FLOW,19980612 0000,19980612 0000,27176, ,CFS
BTC,D,41,M FLOW,19980613 0000,19980613 0000,24667, ,CFS
BTC,D,41,M FLOW,19980614 0000,19980614 0000,24401, ,CFS
BTC,D,41,M FLOW,19980615 0000,19980615 0000,22937, ,CFS
BTC,D,41,M FLOW,19980616 0000,19980616 0000,22147, ,CFS
BTC,D,41,M FLOW,19980617 0000,19980617 0000,22058, ,CFS
BTC,D,41,M FLOW,19980618 0000,19980618 0000,21233, ,CFS
BTC,D,41,M FLOW,19980619 0000,19980619 0000,20686, ,CFS
BTC,D,41,M FLOW,19980620 0000,19980620 0000,20281, ,CFS
BTC,D,41,M FLOW,19980621 0000,19980621 0000,19760, ,CFS
BTC,D,41,M FLOW,19980622 0000,19980622 0000,19452, ,CFS
BTC,D,41,M FLOW,19980623 0000,19980623 0000,19143, ,CFS
BTC,D,41,M FLOW,19980624 0000,19980624 0000,18664, ,CFS
BTC,D,41,M FLOW,19980625 0000,19980625 0000,18249, ,CFS
BTC,D,41,M FLOW,19980626 0000,19980626 0000,18015, ,CFS
BTC,D,41,M FLOW,19980627 0000,19980627 0000,17708, ,CFS
BTC,D,41,M FLOW,19980628 0000,19980628 0000,17218, ,CFS
BTC,D,41,M FLOW,19980629 0000,19980629 0000,---, ,CFS
BTC,D,41,M FLOW,19980630 0000,19980630 0000,---, ,CFS
BTC,D,41,M FLOW,19980701 0000,19980701 0000,---, ,CFS
BTC,D,41,M FLOW,19980702 0000,19980702 0000,---, ,CFS
BTC,D,41,M FLOW,19980703 0000,19980703 0000,16146, ,CFS
BTC,D,41,M FLOW,19980704 0000,19980704 0000,15868, ,CFS
BTC,D,41,M FLOW,19980705 0000,19980705 0000,15963, ,CFS
BTC,D,41,M FLOW,19980706 0000,19980706 0000,16053, ,CFS
BTC,D,41,M FLOW,19980707 0000,19980707 0000,16138, ,CFS
BTC,D,41,M FLOW,19980708 0000,19980708 0000,16119, ,CFS
BTC,D,41,M FLOW,19980709 0000,19980709 0000,15678, ,CFS
BTC,D,41,M FLOW,19980710 0000,19980710 0000,15641, ,CFS
BTC,D,41,M FLOW,19980711 0000,19980711 0000,15191, ,CFS
BTC,D,41,M FLOW,19980712 0000,19980712 0000,14848, ,CFS
BTC,D,41,M FLOW,19980713 0000,19980713 0000,14832, ,CFS
BTC,D,41,M FLOW,19980714 0000,19980714 0000,14594, ,CFS
BTC,D,41,M FLOW,19980715 0000,19980715 0000,14418, ,CFS
BTC,D,41,M FLOW,19980716 0000,19980716 0000,14277, ,CFS
BTC,D,41,M FLOW,19980717 0000,19980717 0000,14007, ,CFS
BTC,D,41,M FLOW,19980718 0000,19980718 0000,13996, ,CFS
BTC,D,41,M FLOW,19980719 0000,19980719 0000,13794, ,CFS
BTC,D,41,M FLOW,19980720 0000,19980720 0000,13844, ,CFS
BTC,D,41,M FLOW,19980721 0000,19980721 0000,13878, ,CFS
BTC,D,41,M FLOW,19980722 0000,19980722 0000,13914, ,CFS
BTC,D,41,M FLOW,19980723 0000,19980723 0000,13671, ,CFS
BTC,D,41,M FLOW,19980724 0000,19980724 0000,13710, ,CFS
BTC,D,41,M FLOW,19980725 0000,19980725 0000,13944, ,CFS
