WY,ndays,flowtotal,ndays_threshold,flowtotal_threshold
1993,272,4565165,80,2670711
1994,358,2642253.5,8,135183
1995,349,8332826,180,6973451
1996,336,5684725.5,112,3414404
1997,364,6381303,105,3960561.5
1998,365,9611061.833333334,228,8397399.333333334
1999,365,5522665.333333333,112,3163268.6666666665
2000,366,5643112.666666667,71,2854127.3333333335
2001,365,3223996.6666666665,20,449011.75
2002,365,3657689.9166666665,38,979436.5
2003,365,5389596,128,3335018.75
2004,366,5519119.5,80,2861822
2005,365,4020738.5,59,1381155.3333333333
2006,365,8378551.5,173,6520836.833333333
2007,365,3108163.25,7,165039.75
2008,366,2989179.3333333335,16,384657.5
2009,365,2724876.75,14,365773.5
2010,365,3339776.75,39,892906.5
2011,365,5307806.416666667,93,2730471.75
2012,366,3131715,16,293185.5
2013,365,3366662.5,18,557961
2014,360,2146032.75,6,106588
2015,365,2673459.5,23,698140.5
2016,366,3643333,47,1434683.25
2017,364,8334171.916666667,158,6565967.666666667
2018,365,2810407.4166666665,6,149469.5
2019,364,5864287.75,101,3710661.75
2020,366,2771207.9166666665,4,65990.75
2021,364,2050747.9166666667,0,0
2022,365,1903147.6666666667,8,164800
2023,365,4219715.583333333,83,2221567.9166666665
2024,193,3158414,77,2341180.25
