agency_cd,location_id,datetime,parameter_cd,parameter_value
CDEC,VIN,1993-01-01T08:00:00Z,NA,49324
CDEC,VIN,1993-01-02T08:00:00Z,NA,18866
CDEC,VIN,1993-01-03T08:00:00Z,NA,9804
CDEC,VIN,1993-01-04T08:00:00Z,NA,7640
CDEC,VIN,1993-01-05T08:00:00Z,NA,6799
CDEC,VIN,1993-01-06T08:00:00Z,NA,6491
CDEC,VIN,1993-01-07T08:00:00Z,NA,27514
CDEC,VIN,1993-01-08T08:00:00Z,NA,20530
CDEC,VIN,1993-01-09T08:00:00Z,NA,16645
CDEC,VIN,1993-01-10T08:00:00Z,NA,14008
CDEC,VIN,1993-01-11T08:00:00Z,NA,10418
CDEC,VIN,1993-01-12T08:00:00Z,NA,8441
CDEC,VIN,1993-01-13T08:00:00Z,NA,27089
CDEC,VIN,1993-01-14T08:00:00Z,NA,49625
CDEC,VIN,1993-01-15T08:00:00Z,NA,26779
CDEC,VIN,1993-01-16T08:00:00Z,NA,31337
CDEC,VIN,1993-01-17T08:00:00Z,NA,16856
CDEC,VIN,1993-01-18T08:00:00Z,NA,14689
CDEC,VIN,1993-01-19T08:00:00Z,NA,11328
CDEC,VIN,1993-01-20T08:00:00Z,NA,46642
CDEC,VIN,1993-01-21T08:00:00Z,NA,84958
CDEC,VIN,1993-01-22T08:00:00Z,NA,58548
CDEC,VIN,1993-01-23T08:00:00Z,NA,27510
CDEC,VIN,1993-01-24T08:00:00Z,NA,18259
CDEC,VIN,1993-01-25T08:00:00Z,NA,14417
CDEC,VIN,1993-01-26T08:00:00Z,NA,12384
CDEC,VIN,1993-01-27T08:00:00Z,NA,11254
CDEC,VIN,1993-01-28T08:00:00Z,NA,10488
CDEC,VIN,1993-01-29T08:00:00Z,NA,9652
CDEC,VIN,1993-01-30T08:00:00Z,NA,9054
CDEC,VIN,1993-01-31T08:00:00Z,NA,8764
CDEC,VIN,1993-02-01T08:00:00Z,NA,8320
CDEC,VIN,1993-02-02T08:00:00Z,NA,7935
CDEC,VIN,1993-02-03T08:00:00Z,NA,7589
CDEC,VIN,1993-02-04T08:00:00Z,NA,7296
CDEC,VIN,1993-02-05T08:00:00Z,NA,7308
CDEC,VIN,1993-02-06T08:00:00Z,NA,8587
CDEC,VIN,1993-02-07T08:00:00Z,NA,8934
CDEC,VIN,1993-02-08T08:00:00Z,NA,17640
CDEC,VIN,1993-02-09T08:00:00Z,NA,36156
CDEC,VIN,1993-02-10T08:00:00Z,NA,20782
CDEC,VIN,1993-02-11T08:00:00Z,NA,25642
CDEC,VIN,1993-02-12T08:00:00Z,NA,20461
CDEC,VIN,1993-02-13T08:00:00Z,NA,15393
CDEC,VIN,1993-02-14T08:00:00Z,NA,12542
CDEC,VIN,1993-02-15T08:00:00Z,NA,11111
CDEC,VIN,1993-02-16T08:00:00Z,NA,11629
CDEC,VIN,1993-02-17T08:00:00Z,NA,12349
CDEC,VIN,1993-02-18T08:00:00Z,NA,30735
CDEC,VIN,1993-02-19T08:00:00Z,NA,59076
CDEC,VIN,1993-02-20T08:00:00Z,NA,43061
CDEC,VIN,1993-02-21T08:00:00Z,NA,30076
CDEC,VIN,1993-02-22T08:00:00Z,NA,23485
CDEC,VIN,1993-02-23T08:00:00Z,NA,29066
CDEC,VIN,1993-02-24T08:00:00Z,NA,21929
CDEC,VIN,1993-02-25T08:00:00Z,NA,15889
CDEC,VIN,1993-02-26T08:00:00Z,NA,13282
CDEC,VIN,1993-02-27T08:00:00Z,NA,11778
CDEC,VIN,1993-02-28T08:00:00Z,NA,10832
CDEC,VIN,1993-03-01T08:00:00Z,NA,10237
CDEC,VIN,1993-03-02T08:00:00Z,NA,9968
CDEC,VIN,1993-03-03T08:00:00Z,NA,9712
CDEC,VIN,1993-03-04T08:00:00Z,NA,9574
CDEC,VIN,1993-03-05T08:00:00Z,NA,9208
CDEC,VIN,1993-03-06T08:00:00Z,NA,9113
CDEC,VIN,1993-03-07T08:00:00Z,NA,9378
CDEC,VIN,1993-03-08T08:00:00Z,NA,10163
CDEC,VIN,1993-03-09T08:00:00Z,NA,9776
CDEC,VIN,1993-03-10T08:00:00Z,NA,10021
CDEC,VIN,1993-03-11T08:00:00Z,NA,10000
CDEC,VIN,1993-03-12T08:00:00Z,NA,9733
CDEC,VIN,1993-03-13T08:00:00Z,NA,9646
CDEC,VIN,1993-03-14T08:00:00Z,NA,9934
CDEC,VIN,1993-03-15T08:00:00Z,NA,NA
CDEC,VIN,1993-03-16T08:00:00Z,NA,10845
CDEC,VIN,1993-03-17T08:00:00Z,NA,31059
CDEC,VIN,1993-03-18T08:00:00Z,NA,48642
CDEC,VIN,1993-03-19T08:00:00Z,NA,44629
CDEC,VIN,1993-03-20T08:00:00Z,NA,49289
CDEC,VIN,1993-03-21T08:00:00Z,NA,56445
CDEC,VIN,1993-03-22T08:00:00Z,NA,55336
CDEC,VIN,1993-03-23T08:00:00Z,NA,56236
CDEC,VIN,1993-03-24T08:00:00Z,NA,80367
CDEC,VIN,1993-03-25T08:00:00Z,NA,66670
CDEC,VIN,1993-03-26T08:00:00Z,NA,62347
CDEC,VIN,1993-03-27T08:00:00Z,NA,61775
CDEC,VIN,1993-03-28T08:00:00Z,NA,60921
CDEC,VIN,1993-03-29T08:00:00Z,NA,59069
CDEC,VIN,1993-03-30T08:00:00Z,NA,52789
CDEC,VIN,1993-03-31T08:00:00Z,NA,46040
CDEC,VIN,1993-04-01T08:00:00Z,NA,40084
CDEC,VIN,1993-04-02T08:00:00Z,NA,28550
CDEC,VIN,1993-04-03T08:00:00Z,NA,25846
CDEC,VIN,1993-04-04T08:00:00Z,NA,24834
CDEC,VIN,1993-04-05T07:00:00Z,NA,22883
CDEC,VIN,1993-04-06T07:00:00Z,NA,20687
CDEC,VIN,1993-04-07T07:00:00Z,NA,18810
CDEC,VIN,1993-04-08T07:00:00Z,NA,16258
CDEC,VIN,1993-04-09T07:00:00Z,NA,16139
CDEC,VIN,1993-04-10T07:00:00Z,NA,13633
CDEC,VIN,1993-04-11T07:00:00Z,NA,12252
CDEC,VIN,1993-04-12T07:00:00Z,NA,11268
CDEC,VIN,1993-04-13T07:00:00Z,NA,10561
CDEC,VIN,1993-04-14T07:00:00Z,NA,9874
CDEC,VIN,1993-04-15T07:00:00Z,NA,9659
CDEC,VIN,1993-04-16T07:00:00Z,NA,10010
CDEC,VIN,1993-04-17T07:00:00Z,NA,11457
CDEC,VIN,1993-04-18T07:00:00Z,NA,23341
CDEC,VIN,1993-04-19T07:00:00Z,NA,13784
CDEC,VIN,1993-04-20T07:00:00Z,NA,11786
CDEC,VIN,1993-04-21T07:00:00Z,NA,11001
CDEC,VIN,1993-04-22T07:00:00Z,NA,10561
CDEC,VIN,1993-04-23T07:00:00Z,NA,10200
CDEC,VIN,1993-04-24T07:00:00Z,NA,11125
CDEC,VIN,1993-04-25T07:00:00Z,NA,10540
CDEC,VIN,1993-04-26T07:00:00Z,NA,10368
CDEC,VIN,1993-04-27T07:00:00Z,NA,12065
CDEC,VIN,1993-04-28T07:00:00Z,NA,13376
CDEC,VIN,1993-04-29T07:00:00Z,NA,11793
CDEC,VIN,1993-04-30T07:00:00Z,NA,11839
CDEC,VIN,1993-05-01T07:00:00Z,NA,11301
CDEC,VIN,1993-05-02T07:00:00Z,NA,9631
CDEC,VIN,1993-05-03T07:00:00Z,NA,10301
CDEC,VIN,1993-05-04T07:00:00Z,NA,11331
CDEC,VIN,1993-05-05T07:00:00Z,NA,10298
CDEC,VIN,1993-05-06T07:00:00Z,NA,10222
CDEC,VIN,1993-05-07T07:00:00Z,NA,10752
CDEC,VIN,1993-05-08T07:00:00Z,NA,10779
CDEC,VIN,1993-05-09T07:00:00Z,NA,10971
CDEC,VIN,1993-05-10T07:00:00Z,NA,NA
CDEC,VIN,1993-05-11T07:00:00Z,NA,11765
CDEC,VIN,1993-05-12T07:00:00Z,NA,NA
CDEC,VIN,1993-05-13T07:00:00Z,NA,10712
CDEC,VIN,1993-05-14T07:00:00Z,NA,9681
CDEC,VIN,1993-05-15T07:00:00Z,NA,9425
CDEC,VIN,1993-05-16T07:00:00Z,NA,10220
CDEC,VIN,1993-05-17T07:00:00Z,NA,10510
CDEC,VIN,1993-05-18T07:00:00Z,NA,10433
CDEC,VIN,1993-05-19T07:00:00Z,NA,10421
CDEC,VIN,1993-05-20T07:00:00Z,NA,10329
CDEC,VIN,1993-05-21T07:00:00Z,NA,10581
CDEC,VIN,1993-05-22T07:00:00Z,NA,10810
CDEC,VIN,1993-05-23T07:00:00Z,NA,10893
CDEC,VIN,1993-05-24T07:00:00Z,NA,10848
CDEC,VIN,1993-05-25T07:00:00Z,NA,10956
CDEC,VIN,1993-05-26T07:00:00Z,NA,11072
CDEC,VIN,1993-05-27T07:00:00Z,NA,12123
CDEC,VIN,1993-05-28T07:00:00Z,NA,12524
CDEC,VIN,1993-05-29T07:00:00Z,NA,11639
CDEC,VIN,1993-05-30T07:00:00Z,NA,11135
CDEC,VIN,1993-05-31T07:00:00Z,NA,16116
CDEC,VIN,1993-06-01T07:00:00Z,NA,28406
CDEC,VIN,1993-06-02T07:00:00Z,NA,19439
CDEC,VIN,1993-06-03T07:00:00Z,NA,18385
CDEC,VIN,1993-06-04T07:00:00Z,NA,19339
CDEC,VIN,1993-06-05T07:00:00Z,NA,26159
CDEC,VIN,1993-06-06T07:00:00Z,NA,23912
CDEC,VIN,1993-06-07T07:00:00Z,NA,23008
CDEC,VIN,1993-06-08T07:00:00Z,NA,20397
CDEC,VIN,1993-06-09T07:00:00Z,NA,17703
CDEC,VIN,1993-06-10T07:00:00Z,NA,16598
CDEC,VIN,1993-06-11T07:00:00Z,NA,15044
CDEC,VIN,1993-06-12T07:00:00Z,NA,14018
CDEC,VIN,1993-06-13T07:00:00Z,NA,14453
CDEC,VIN,1993-06-14T07:00:00Z,NA,13986
CDEC,VIN,1993-06-15T07:00:00Z,NA,13295
CDEC,VIN,1993-06-16T07:00:00Z,NA,13311
