STATION_ID,WY,ndays,flowtotal
BTC,1999,365,1441992
BTC,2000,366,1953017
BTC,2001,362,176737
BTC,2002,364,447725
BTC,2003,365,1637178
BTC,2004,354,1975364
BTC,2005,356,633586
BTC,2006,360,4455825
BTC,2007,361,63759
BTC,2008,365,187780
BTC,2009,365,186857
BTC,2010,363,396922
BTC,2011,365,1479443
BTC,2012,366,68530
BTC,2013,365,327274
BTC,2014,360,16793
BTC,2015,365,368077
BTC,2016,366,852052
BTC,2017,364,4424046
BTC,2018,365,65575
BTC,2019,364,2625033
BTC,2020,366,12611
HMC,2002,362,384373
HMC,2003,363,1317084
HMC,2004,366,1582149
HMC,2005,347,335574
HMC,2006,365,3804290
HMC,2007,353,60588
HMC,2008,366,139832
HMC,2009,365,144442
HMC,2010,365,274675
HMC,2011,354,1364810
HMC,2012,364,71319
HMC,2013,365,294978
HMC,2014,358,28011
HMC,2015,365,389120
HMC,2016,366,763366
HMC,2017,364,4724063
HMC,2018,365,71620
HMC,2019,348,2132469
HMC,2020,365,14980
ORD,1994,354,30243
ORD,1995,309,NA
ORD,1996,313,NA
ORD,1997,357,2562683
ORD,1998,364,5288967
ORD,1999,364,1814756
ORD,2000,365,1884665
ORD,2001,363,227809
ORD,2002,365,553154
ORD,2003,365,1585528
ORD,2004,366,1745928
ORD,2005,365,681904
ORD,2006,364,4284941
ORD,2007,359,74338
ORD,2008,366,203998
ORD,2009,365,208709
ORD,2010,365,443931
ORD,2011,365,1491378
ORD,2012,366,70367
ORD,2013,363,336277
ORD,2014,358,20676
ORD,2015,365,387802
ORD,2016,366,818126
ORD,2017,364,4203752
ORD,2018,365,63283
ORD,2019,348,2414580
ORD,2020,366,8417
VIN,1994,351,18850
VIN,1995,330,3765024
VIN,1996,271,NA
VIN,1997,363,2468827
VIN,1998,358,5032163
VIN,1999,364,1542525
VIN,2000,364,1781908
VIN,2001,363,150029
VIN,2002,365,439295
VIN,2003,363,1685784
VIN,2004,366,1713819
VIN,2005,365,501733
VIN,2006,364,3805227
VIN,2007,361,75553
VIN,2008,338,145796
VIN,2009,365,153811
VIN,2010,365,322803
VIN,2011,360,1395193
VIN,2012,364,75040
VIN,2013,365,284497
VIN,2014,358,30937
VIN,2015,365,368690
VIN,2016,366,684009
VIN,2017,354,4080493
VIN,2018,362,64384
VIN,2019,348,2079339
VIN,2020,366,11264
